0.303702,0.40858,2.22235,3.11306,2.19471,0
0.295491,0.435101,2.23292,3.11514,2.20934,1
0.303683,0.437954,2.16395,3.03352,2.19952,2
0.301314,0.412517,2.10124,2.95212,2.18916,3
0.303118,0.419161,2.04924,2.86434,2.21328,4
0.301085,0.414285,1.97043,2.78495,2.20829,5
0.283503,0.40723,1.94185,2.71283,2.20622,6
0.31186,0.412241,1.88535,2.62125,2.19673,7
0.30697,0.437022,1.80181,2.53491,2.19587,8
0.290162,0.421683,1.74705,2.45935,2.19284,9
0.299288,0.432228,1.69095,2.36389,2.18861,10
0.309865,0.426567,1.62366,0.705088,1.35468,11
0.290884,0.437472,1.57714,0.652919,1.27918,12
0.284097,0.432484,1.5058,0.581747,1.28969,13
0.278078,0.431149,1.452,0.545174,1.29539,14
0.30073,0.417979,1.40229,0.527599,1.35351,15
0.298201,0.414553,1.31921,0.578,1.85049,16
0.303441,0.441883,1.27417,1.77911,1.78785,17
0.295279,0.427549,1.21372,1.70097,1.76492,18
0.308218,0.439794,1.13298,1.60927,1.79257,19
0.306185,0.461711,1.10274,1.63317,0.468,20
0.297438,0.541051,1.05323,1.79322,0.441627,21
0.333223,0.683506,1.01824,2.07515,0.418193,22
0.355266,0.971065,0.988226,2.3247,0.38988,23
0.406692,0.878927,0.629333,2.21639,0.386096,24
0.509806,0.805876,0.572609,2.13687,0.375053,25
0.607096,0.781274,0.56009,2.07686,0.345149,26
0.783762,0.73156,1.18407,2.04771,0.328157,27
0.77598,0.705347,1.3688,1.67248,0.339808,28
0.701693,0.356589,1.70226,1.6261,0.316066,29
0.640869,0.301599,1.92944,2.13901,0.304133,30
0.622294,0.295526,1.83011,2.17372,0.277707,31
0.270946,0.765322,1.75154,1.23482,0.278684,32
0.226203,0.801928,1.70661,1.17715,0.285421,33
0.240078,0.823866,1.64541,1.17078,0.327954,34
0.287734,0.814848,1.56287,2.15939,1.92851,35
0.588175,0.920547,1.52339,1.0366,1.92028,36
0.620981,1.07562,1.48996,0.980326,1.94539,37
0.639026,1.33978,1.46002,1.01286,1.99937,38
0.698382,1.4254,1.10358,1.98793,2.06342,39
0.764631,1.32238,1.02211,1.8778,2.16362,40
0.86107,1.24573,1.54572,1.86519,2.11852,41
0.932154,1.18858,1.55389,1.7735,2.03492,42
1.03947,1.13595,1.55773,1.73805,2.0171,43
1.09751,1.09739,1.4983,1.69058,2.04795,44
1.17349,1.05181,1.47944,1.66288,2.09119,45
1.25902,1.01513,1.42428,1.62036,2.12146,46
1.32015,0.965875,1.37958,1.57823,2.16142,47
1.30419,0.921537,1.33249,0.523804,2.16892,48
1.23837,0.883833,1.28106,0.377583,2.11926,49
1.18566,0.83853,1.19173,0.327606,2.05856,50
1.13404,0.449752,1.16133,0.299993,1.98031,51
1.07293,0.358398,1.10444,0.21658,1.91721,52
1.0249,0.280119,1.0483,0.233557,1.8589,53
0.946405,0.240259,0.982871,0.2645,0.224948,54
0.888986,0.222805,0.92463,1.22943,0.171889,55
0.832652,0.225833,0.856693,1.19379,0.151067,56
0.165793,0.548809,0.780319,1.15046,0.164047,57
0.161305,0.541863,0.861369,1.11881,0.227585,58
0.543758,0.484124,0.981485,1.09126,0.27043,59
0.479602,0.473638,1.07454,1.10205,2.22332,60
0.428516,0.482882,0.982209,1.06752,2.16963,61
0.415794,0.477475,0.917372,1.05291,2.1358,62
0.3889,0.46945,0.845909,0.995779,2.16165,63
0.381283,0.453207,0.771469,0.946319,2.13942,64
0.372296,0.469316,0.721025,0.883906,2.1426,65
0.365128,0.451587,0.657757,0.796525,2.17058,66
0.365354,0.437269,0.585513,0.742214,2.17047,67
0.337803,0.443228,0.525063,0.637596,2.16897,68
0.345627,0.42028,0.476288,0.590833,2.17917,69
0.324597,0.430521,0.426166,0.520262,2.1798,70
0.330187,0.432108,0.35478,0.45,2.18067,71
0.325573,0.416737,0.317101,0.382705,2.18859,72
0.323752,0.411412,0.326242,0.375527,2.18654,73
0.333361,0.416493,0.304621,0.405248,2.19486,74
0.292296,0.40798,0.291287,0.388697,2.18495,75
0.328875,0.419233,0.313879,0.38542,2.18254,76
0.314873,0.401664,0.306836,0.386914,2.20861,77
0.328747,0.415819,0.317936,0.410721,2.20844,78
0.33408,0.410065,0.314317,0.377281,2.19003,79
0.316427,0.409896,0.302385,0.432864,2.18412,80
0.320659,0.402897,0.321616,0.405187,2.2187,81
0.339325,0.427159,0.337062,0.395044,2.18816,82
0.325978,0.416546,0.298781,0.399523,2.19162,83
0.316159,0.403243,0.311017,0.390661,2.18239,84
0.346664,0.429775,0.318263,0.391328,2.20652,85
0.324738,0.423871,0.300913,0.382958,2.20787,86
0.336649,0.400679,0.309162,0.398096,2.20261,87
0.327489,0.420727,0.323254,0.402889,2.17025,88
0.304249,0.422663,0.308693,0.398492,2.19773,89
0.31617,0.420992,0.297622,0.404234,2.20476,90
0.309508,0.413778,0.289242,0.40295,2.19925,91
0.30866,0.414058,0.301617,0.369342,2.21194,92
0.305787,0.405672,0.314919,0.388708,2.18979,93
0.334902,0.418952,0.312831,0.375446,2.21034,94
0.32218,0.423043,0.310032,0.395006,2.18767,95
0.327768,0.410634,0.299476,0.406448,2.20008,96
0.29964,0.417458,0.310655,0.390015,2.20881,97
0.31354,0.424538,0.307484,0.386664,2.21191,98
0.333824,0.396561,0.307693,0.404881,2.20995,99
