0.312277,0.420124,2.21493,3.13152,2.19698,0
0.293388,0.42638,2.22067,3.09446,2.20288,1
0.287717,0.431908,2.17288,3.02764,2.20332,2
0.318123,0.422725,2.12421,2.96374,2.19416,3
0.30179,0.415679,2.07533,2.86623,2.21517,4
0.300316,0.420456,1.99559,2.80009,2.19073,5
0.283616,0.429778,1.95075,2.69888,2.21028,6
0.309865,0.429519,1.88254,2.62059,2.20447,7
0.29749,0.430347,1.80836,2.53427,2.18127,8
0.296781,0.432689,1.74809,2.43979,2.21254,9
0.299026,0.441025,1.66635,2.35938,2.20507,10
0.29199,0.435699,1.63372,0.721323,1.35365,11
0.284969,0.411319,1.57387,0.644898,1.28737,12
0.285113,0.415384,1.50496,0.595405,1.2744,13
0.311043,0.409212,1.45765,0.556071,1.28786,14
0.316329,0.421622,1.39491,0.542182,1.39241,15
0.305739,0.422473,1.32861,1.86376,1.84361,16
0.310799,0.411605,1.27385,1.77681,1.77727,17
0.319954,0.410499,1.21665,1.68912,1.74684,18
0.324709,0.424511,1.17047,1.59666,1.7801,19
0.308324,0.478677,1.07518,1.63573,0.462331,20
0.304106,0.539116,1.05743,1.79555,0.424554,21
0.325309,0.688218,1.02124,2.0577,0.429206,22
0.362696,0.928999,0.999326,2.32548,0.402022,23
0.398003,0.89463,0.630244,2.21177,0.388715,24
0.512464,0.806205,0.56111,2.15086,0.353357,25
0.612972,0.754469,0.564278,2.08056,0.376365,26
0.764513,0.717551,1.18705,2.06652,0.336777,27
0.778155,0.689179,1.33593,1.66951,0.32187,28
0.701682,0.346817,1.67463,1.63734,0.300675,29
0.646095,0.277778,1.96811,2.13565,0.300048,30
0.611479,0.300189,1.83113,2.20733,0.307946,31
0.238073,0.829867,1.76213,1.20102,0.274035,32
0.235848,0.92073,1.71697,1.19057,0.270072,33
0.621556,1.16269,1.66219,2.25404,0.276409,34
0.636717,1.17657,1.54876,1.08401,0.336116,35
0.674767,1.19605,1.45613,0.9371,1.89503,36
0.690799,1.24926,1.34953,0.864128,1.85631,37
0.703024,1.30562,1.27312,0.817452,1.84943,38
0.71767,1.29875,1.16363,2.04989,1.81337,39
0.783697,1.2129,1.12526,2.02068,1.84151,40
