0.3 0.3
0.3 0.300001
0.300001 0.301152
0.300003 0.303459
0.300006 0.306925
0.30001 0.311546
0.300015 0.317323
0.30002 0.324255
0.300027 0.332343
0.300034 0.341586
0.300043 0.351782
0.300051 0.361978
0.300059 0.372174
0.300068 0.382371
0.300076 0.392568
0.300084 0.402766
0.300093 0.412963
0.300101 0.423162
0.300109 0.43336
0.300117 0.443559
0.300126 0.453759
0.300134 0.463958
0.300142 0.474158
0.30015 0.484359
0.300159 0.49456
0.300167 0.504761
0.300175 0.514963
0.300184 0.525165
0.300192 0.535367
0.3002 0.54557
0.300209 0.555773
0.300217 0.565976
0.300225 0.57618
0.300234 0.586384
0.300242 0.596589
0.300251 0.606794
0.300259 0.616999
0.300267 0.627204
0.300276 0.63741
0.300284 0.647616
0.300293 0.657823
0.300301 0.668033
0.30031 0.678244
0.300318 0.68845
0.300326 0.698655
0.300335 0.708859
0.300343 0.719061
0.300352 0.729262
0.30036 0.739463
0.300368 0.749662
0.300377 0.759859
0.300385 0.770056
0.300394 0.780251
0.300402 0.790445
0.300411 0.800632
0.300419 0.810824
0.300427 0.821017
0.300436 0.83121
0.300444 0.841404
0.300453 0.851598
0.300461 0.861792
0.30047 0.871987
0.300478 0.882183
0.300486 0.892378
0.300495 0.902575
0.300503 0.912771
0.300512 0.922968
0.30052 0.933165
0.300529 0.943363
0.300537 0.953561
0.300546 0.963759
0.300554 0.973957
0.300562 0.984157
0.300571 0.994357
0.300579 1.00456
0.300588 1.01476
0.300596 1.02496
0.300605 1.03516
0.300613 1.04536
0.300622 1.05557
0.30063 1.06577
0.300639 1.07597
0.300647 1.08618
0.300656 1.09638
0.300664 1.10659
0.300673 1.11679
0.300681 1.127
0.30069 1.1372
0.300698 1.14741
0.300707 1.15762
0.300715 1.16782
0.300724 1.17803
0.300732 1.18823
0.300741 1.19843
0.30075 1.20863
0.300758 1.21883
0.300767 1.22903
0.300775 1.23923
0.300784 1.24942
0.300792 1.25962
0.300801 1.26981
0.300809 1.28
0.300818 1.2902
0.300826 1.30039
0.300835 1.31059
0.300843 1.32079
0.300852 1.33098
0.30086 1.34118
0.300869 1.35138
0.300877 1.36158
0.300886 1.37178
0.300894 1.38198
0.300903 1.39218
0.300911 1.40238
0.30093 1.4126
0.301032 1.42283
0.301351 1.43306
0.301988 1.44329
0.302934 1.45349
0.304107 1.46366
0.305427 1.47381
0.306881 1.48394
0.308513 1.49405
0.310379 1.50412
0.3125 1.51414
0.314853 1.52411
0.317396 1.53402
0.320108 1.54389
0.322997 1.55371
0.326085 1.56346
0.329391 1.57315
0.332908 1.58276
0.336627 1.59229
0.340528 1.60174
0.344612 1.61112
0.348882 1.62042
0.353347 1.62963
0.358006 1.63874
0.362856 1.64775
0.367886 1.65667
0.373093 1.66548
0.378474 1.67418
0.384033 1.68278
0.389769 1.69125
0.39568 1.69961
0.401761 1.70784
0.407979 1.71593
0.414329 1.72384
0.420838 1.7316
0.427511 1.7392
0.434348 1.74665
0.441311 1.75393
0.448478 1.76106
0.455824 1.76805
0.463338 1.7749
0.47102 1.78161
0.478847 1.78816
0.486821 1.79457
0.494924 1.80082
0.503156 1.8069
0.511475 1.81278
0.519907 1.81848
0.528445 1.824
0.537092 1.82933
0.545837 1.83445
0.554684 1.83943
0.563647 1.84419
0.572719 1.84874
0.581893 1.85311
0.591164 1.85727
0.600554 1.86126
0.610063 1.86506
0.619645 1.86866
0.629297 1.87207
0.639016 1.87528
0.648799 1.8783
0.658644 1.88112
0.668543 1.88373
0.678492 1.88614
0.68849 1.88835
0.698528 1.89035
0.708588 1.89215
0.718637 1.89373
0.728715 1.8951
0.738804 1.89625
0.748905 1.89717
0.759015 1.89783
0.769147 1.89832
0.779289 1.89859
0.789423 1.89864
0.799555 1.89847
0.809677 1.89808
0.819795 1.89746
0.829922 1.89662
0.84119 1.89545
0.853573 1.89389
0.867044 1.89188
0.881603 1.88935
0.896928 1.88632
0.912654 1.88287
0.928899 1.8791
0.945453 1.87525
0.962026 1.87153
0.978637 1.86796
0.99527 1.86445
1.0119 1.86087
1.0285 1.85718
1.04508 1.85344
1.06167 1.84971
1.07827 1.84607
1.09489 1.84246
1.1115 1.83886
1.12811 1.83522
1.14471 1.83154
1.1613 1.82785
1.17789 1.82418
1.19449 1.82054
1.2111 1.81691
1.2277 1.81327
1.2443 1.80961
1.2609 1.80594
1.2775 1.80227
1.2941 1.79861
1.3107 1.79497
1.32731 1.79132
1.34391 1.78767
1.35939 1.78425
1.37374 1.78109
1.38696 1.77821
1.39907 1.77561
1.4104 1.77319
1.42119 1.77087
1.43143 1.76857
1.44137 1.76613
1.45125 1.76341
1.46104 1.76041
1.47075 1.75718
1.4804 1.7538
1.49 1.75027
1.49954 1.74658
1.50901 1.74268
1.51837 1.73854
1.52764 1.73419
1.53682 1.72966
1.54591 1.72497
1.55493 1.7201
1.56376 1.71511
1.57245 1.70993
1.58101 1.70456
1.58944 1.69898
1.59776 1.69321
1.60598 1.68725
1.61411 1.6811
1.62211 1.67477
1.63001 1.66826
1.63777 1.66158
1.64539 1.65474
1.65287 1.64776
1.66021 1.64064
1.66736 1.6334
1.67436 1.62603
1.68117 1.61851
1.68782 1.61086
1.69429 1.60306
1.70059 1.59513
1.70673 1.58707
1.71268 1.57887
1.71844 1.57055
1.72402 1.5621
1.72942 1.55353
1.73462 1.54485
1.73911 1.53699
1.74286 1.53003
1.74596 1.524
1.74841 1.51895
1.75043 1.51457
1.75213 1.51068
1.75356 1.5073
1.75488 1.50417
1.75622 1.50106
1.75759 1.49795
1.75897 1.49485
1.76035 1.49173
1.7617 1.48861
1.76304 1.48549
1.76439 1.48238
1.76576 1.47924
1.76713 1.4761
1.76849 1.473
1.76985 1.4699
1.77119 1.46681
1.77254 1.46369
1.77389 1.46057
1.77525 1.45746
1.77661 1.45434
1.77797 1.45122
1.77932 1.4481
1.78068 1.44499
1.78203 1.44187
1.78339 1.43875
1.78475 1.43563
1.78611 1.43251
1.78747 1.42939
1.78882 1.42626
1.79018 1.42314
1.79154 1.42002
1.7929 1.4169
1.79425 1.41378
1.79561 1.41065
1.79697 1.40753
1.79833 1.40441
1.79968 1.4013
1.80104 1.39818
1.8024 1.39506
1.80375 1.39195
1.80511 1.38883
1.80647 1.38572
1.80783 1.38261
1.80918 1.37949
1.81054 1.37638
1.81189 1.37326
1.81325 1.37015
1.81461 1.36703
1.81596 1.36391
1.81732 1.3608
1.81868 1.35768
1.82003 1.35456
1.82139 1.35144
1.82275 1.34832
1.8241 1.3452
1.82546 1.34208
1.82682 1.33895
1.82817 1.33583
1.82952 1.33271
1.83088 1.32959
1.83224 1.32647
1.83359 1.32335
1.83495 1.32023
1.8363 1.31712
1.83766 1.314
1.83902 1.31088
1.84037 1.30777
1.84173 1.30465
1.84308 1.30154
1.84444 1.29842
1.84579 1.2953
1.84715 1.29219
1.8485 1.28907
1.84986 1.28595
1.85121 1.28283
1.85257 1.27971
1.85392 1.27659
1.85528 1.27347
1.85664 1.27035
1.85799 1.26723
1.85935 1.26411
1.86071 1.26099
1.86206 1.25787
1.86342 1.25475
1.86477 1.25164
1.86613 1.24852
1.86748 1.2454
1.86884 1.24229
1.87019 1.23917
1.87155 1.23605
1.8729 1.23294
1.87426 1.22982
1.87561 1.2267
1.87697 1.22358
1.87832 1.22046
1.87968 1.21735
1.88104 1.21423
1.88239 1.21111
1.88375 1.20799
1.8851 1.20487
1.88646 1.20175
1.88782 1.19863
1.88917 1.19551
1.89053 1.19239
1.89188 1.18928
1.89324 1.18616
1.89459 1.18304
1.89595 1.17992
1.8973 1.17681
1.89866 1.17369
1.90001 1.17057
1.90137 1.16745
1.90272 1.16433
1.90408 1.16122
1.90543 1.1581
1.90679 1.15498
1.90814 1.15186
1.9095 1.14874
1.91085 1.14562
1.91221 1.1425
1.91357 1.13938
1.91492 1.13627
1.91628 1.13315
1.91763 1.13003
1.91898 1.12691
1.92034 1.1238
1.92169 1.12068
1.92305 1.11756
1.92441 1.11444
1.92576 1.11132
1.92712 1.1082
1.92847 1.10509
1.92983 1.10197
1.93118 1.09885
1.93254 1.09573
1.93389 1.09261
1.93525 1.08949
1.9366 1.08637
1.93796 1.08326
1.93931 1.08014
1.94067 1.07702
1.94202 1.0739
1.94338 1.07079
1.94473 1.06767
1.94609 1.06455
1.94744 1.06143
1.9488 1.05831
1.95015 1.05519
1.95151 1.05208
1.95286 1.04896
1.95422 1.04584
1.95558 1.04272
1.95693 1.0396
1.95829 1.03648
1.95964 1.03336
1.961 1.03025
1.96235 1.02713
1.96371 1.02401
1.96506 1.02089
1.96642 1.01777
1.96777 1.01466
1.96913 1.01154
1.97048 1.00842
1.97184 1.0053
1.97319 1.00218
1.97455 0.999065
1.9759 0.995946
1.97726 0.992828
1.97861 0.989709
1.97997 0.986591
1.98132 0.983473
1.98268 0.980354
1.98403 0.977236
1.98539 0.974118
1.98674 0.971
1.9881 0.967882
1.98945 0.964764
1.99081 0.961646
1.99216 0.958528
1.99352 0.955409
1.99488 0.952291
1.99623 0.949173
1.99759 0.946054
1.99894 0.942936
2.0003 0.939817
2.00165 0.936699
2.00301 0.933581
2.00436 0.930462
2.00572 0.927344
2.00707 0.924226
2.00843 0.921108
2.00978 0.91799
2.01114 0.914872
2.01249 0.911753
2.01385 0.908635
2.0152 0.905517
2.01656 0.902399
2.01791 0.89928
2.01927 0.896162
2.02062 0.893044
2.02198 0.889925
2.02333 0.886807
2.02469 0.883689
2.02604 0.880571
2.0274 0.877452
2.02876 0.874334
2.03011 0.871216
2.03147 0.868098
2.03282 0.86498
2.03418 0.861861
