0 -4.79205e-05 -7.49655e-07
1 -3.26747e-05 -1.65683e-06
2 0.033267 -4.72162e-05
3 0.0666077 -7.59878e-05
4 0.100702 -5.42264e-05
5 0.0488509 -0.024938
6 0.0577618 -0.0449508
7 0.0595837 -0.065373
8 0.0612432 -0.0857848
9 0.0630146 -0.106187
10 0.0647634 -0.126609
11 0.0665339 -0.14706
12 0.0682959 -0.167601
13 0.07014 -0.188279
14 0.0720088 -0.209135
15 0.0738426 -0.230214
16 0.07571 -0.251538
17 0.0775748 -0.27311
18 0.0797971 -0.294837
19 0.0839311 -0.31632
20 0.0931805 -0.336796
21 0.099927 -0.35266
22 0.0956363 -0.335943
23 0.0927685 -0.313354
24 0.0950878 -0.291288
25 0.0999868 -0.269384
26 0.100661 -0.268261
27 0.101182 -0.291266
28 0.100564 -0.260359
29 0.0999742 -0.225386
30 0.0994361 -0.190235
31 0.0988575 -0.154933
32 0.0983525 -0.11951
33 0.0979508 -0.0839981
34 0.0948649 -0.0488666
35 0.0852133 -0.0160092
36 0.0744657 0.0140801
37 0.0844619 0.0406504
38 0.0989238 0.0651273
39 0.090901 0.0561933
40 0.0835477 0.0352112
41 0.0818152 0.0145152
42 0.0842165 -0.00541513
43 0.0900489 -0.0241613
44 0.0988304 -0.0412731
45 0.0967615 -0.0367061
46 0.0949239 -0.00965266
47 0.0970131 0.0169673
48 0.097096 0.026004
49 0.0969032 0.0130904
50 0.0973445 -0.00570448
51 0.0973027 -0.0185788
52 0.0971948 -0.0160206
53 0.0971729 -0.00322536
54 0.097274 0.00796506
55 0.0974066 0.00962751
56 0.0979717 0.00291899
57 0.0976677 -0.00499439
58 0.0978896 -0.00809439
59 0.0978209 -0.00521296
60 0.0977932 2.63627e-06
61 0.097801 0.00315122
62 0.0978105 0.00237865
63 0.0975204 -0.000920574
64 0.0975478 -0.00397888
65 0.0976616 -0.00461847
66 0.097226 -0.00297734
67 0.0973008 -0.000634834
68 0.0973463 0.000641703
69 0.0973915 0.000161311
70 0.0974236 -0.0013104
71 0.0974424 -0.00245506
72 0.0974548 -0.00250091
73 0.0974738 -0.00167257
74 0.0974989 -0.000783492
75 0.0975305 -0.00050349
76 0.0975625 -0.000893999
77 0.097589 -0.00150612
78 0.0976106 -0.00183492
79 0.0976314 -0.00170214
80 0.0978429 -0.00113986
81 0.13184 -0.0020724
82 0.165022 -0.00451296
83 0.200163 -0.00656735
84 0.231484 -0.00759598
85 0.26569 -0.00707298
86 0.299958 -0.00621474
87 0.266093 -0.00392481
88 0.232235 -0.00211566
89 0.198314 -0.00194027
90 0.164896 -0.00343244
91 0.132736 -0.00549559
92 0.0999436 -0.00598678
93 0.132748 -0.00442328
94 0.166258 -0.00262347
95 0.200516 -0.00202546
96 0.231707 -0.0029566
97 0.268425 -0.00460803
98 0.300137 -0.00654078
99 0.334071 -0.00674157
100 0.36801 -0.00553225
101 0.401965 -0.00399197
102 0.435933 -0.00318639
103 0.469901 -0.00347209
104 0.495771 -0.0032336
105 0.495784 -0.00175585
106 0.495836 -0.000380377
107 0.495899 -7.94209e-05
108 0.495955 -0.000791081
109 0.495995 -0.0017226
110 0.496021 -0.00211985
111 0.462172 -0.0010953
112 0.428346 5.61659e-05
113 0.394461 0.000518937
114 0.360956 -5.41555e-06
115 0.328163 -0.00108091
116 0.281462 0.0268901
117 0.266413 0.0547237
118 0.267988 0.0812325
119 0.269841 0.107705
120 0.271561 0.134137
121 0.273397 0.160482
122 0.275281 0.186736
123 0.277177 0.21289
124 0.279028 0.238933
125 0.280907 0.264843
126 0.284327 0.290378
127 0.290298 0.315199
128 0.300134 0.338914
129 0.297791 0.340488
130 0.29726 0.316603
131 0.298906 0.28987
132 0.301328 0.268086
133 0.301158 0.272014
134 0.30056 0.294976
135 0.300643 0.315637
136 0.300373 0.31886
137 0.300128 0.306015
138 0.299912 0.29064
139 0.299693 0.285154
140 0.333384 0.291853
141 0.367128 0.302758
142 0.399411 0.310472
143 0.433579 0.310436
144 0.467287 0.30433
145 0.458695 0.286824
146 0.460609 0.270199
147 0.462583 0.253433
148 0.464522 0.236726
149 0.466386 0.220168
150 0.468442 0.203709
151 0.433314 0.183675
152 0.403984 0.163704
153 0.371054 0.142956
154 0.338643 0.120614
155 0.317718 0.0970449
156 0.310929 0.0732189
157 0.295057 0.051236
158 0.302304 0.027174
159 0.304761 0.00311843
160 0.305809 -0.0209809
161 0.306254 -0.045091
162 0.306494 -0.0692125
163 0.306645 -0.0933408
164 0.305184 -0.11749
165 0.289465 -0.139453
166 0.264065 -0.158676
167 0.225941 -0.175561
168 0.181399 -0.192081
169 0.143949 -0.209237
170 0.136954 -0.228978
171 0.14166 -0.249706
